Name,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,DrMundo,Draven,Ekko,Elise,Evelynn,Ezreal,FiddleSticks,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Quinn,Rakan,Rammus,RekSai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Aatrox,0,0.0,0,0,0.0,0,0,0,0,1.0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0,0,0.0,1.0,0.5,0,0,0,0,1.0,0,0,0,0,0,0,0.0,0.3333333333333333,0,0,0,0,1.0,0,0,0.5,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0.0,0,0,0.0,0.6666666666666666,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0
Ahri,1.0,0,0,0.5272727272727272,0,1.0,0.47619047619047616,0.603448275862069,0.0,0.35,0.3076923076923077,0.7142857142857143,0.3333333333333333,0.49206349206349204,0.5,0.4,0.4,0.3333333333333333,0.5,1.0,0.375,0.5384615384615384,0.25,0.5,0.49411764705882355,0.7142857142857143,0.4936708860759494,0,0,0.38461538461538464,0.44,0.6153846153846154,0.3888888888888889,0,0.58,0.4222222222222222,0.5119047619047619,0.6923076923076923,0,0,0.43478260869565216,0.6666666666666666,0.4838709677419355,0.4098360655737705,0.5,0.5161290322580645,0.5769230769230769,0.6666666666666666,0.4444444444444444,0.7183098591549296,0.25,0.48,0.75,0.6666666666666666,0,0.44,0.5434782608695652,0.5,0.5454545454545454,0.4782608695652174,0.4375,0.4111111111111111,0.5384615384615384,0.5098039215686274,0.4588235294117647,0.5393258426966292,0.2857142857142857,0.3,0.3888888888888889,0.547945205479452,1.0,0.5,1.0,1.0,0.46938775510204084,0.4864864864864865,0,0.4857142857142857,0.41379310344827586,0.0,0.75,0.6666666666666666,0.5643564356435643,0,0.6666666666666666,0.4838709677419355,0.3333333333333333,0.42857142857142855,0.5,0.6288659793814433,0.48717948717948717,0.603448275862069,0.0,0.5,0.75,0.3333333333333333,0.0,0.6379310344827587,1.0,0.0,0.25,0.4482758620689655,0,0.4,0.3333333333333333,0.0,0.5161290322580645,0.4230769230769231,0.3888888888888889,0.625,0.5,0,0.46226415094339623,0.6,0.4375,0,0.6875,0.5,0.5,0.4444444444444444,0.4523809523809524,0.5,1.0,0.5,0.6363636363636364,0.5609756097560976,0.5294117647058824,0,1.0,0.4166666666666667,0.45,0,0.4166666666666667,1.0,0.25,0.4418604651162791,0.5,0.4166666666666667,0,0.4482758620689655
Akali,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0.5,0.5,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.3333333333333333,0,0,1.0,0,0.0,0.0,0.5,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,1.0,1.0,0,1.0,1.0,0,1.0,0.0,0,1.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.5,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0.0,0,0.0,0,0,0,1.0,0,0,0,0,1.0,0,1.0
Alistar,0,0.4727272727272727,0,0,1.0,0.46153846153846156,0.5882352941176471,0.4659090909090909,0.4,0.4460431654676259,0.49523809523809526,0.125,0.75,0.5207253886010362,0.5,0.46153846153846156,0.5301204819277109,0.4444444444444444,0.490272373540856,0.5,0.3333333333333333,0.6470588235294118,0.625,0.47126436781609193,0.5081967213114754,0.696969696969697,0.5,0,0.0,0.5217391304347826,0.6410256410256411,0.4827586206896552,0.43956043956043955,0,0.55625,0.45689655172413796,0.5130434782608696,0.5079365079365079,0,0.0,0.45454545454545453,0.0,0.4676258992805755,0.47058823529411764,0.48,0.5609756097560976,0.390625,0.525,0.44782608695652176,0.5070422535211268,1.0,0.4772727272727273,1.0,1.0,0.5,0.6923076923076923,0.4782608695652174,0.6197183098591549,0.5,0.4430379746835443,0.5125,0.3854166666666667,0.46153846153846156,0.46534653465346537,0.5448028673835126,0.583941605839416,0.5161290322580645,0.5,0.39473684210526316,0.44623655913978494,0.0,0.5294117647058824,0,0.0,0.42727272727272725,0.46153846153846156,1.0,0.5302013422818792,0.48148148148148145,1.0,0.4666666666666667,0.5666666666666667,0.5232558139534884,0.5555555555555556,0.4,0.46496815286624205,0.4782608695652174,0.4528301886792453,0.25,0.4983922829581994,0.4857142857142857,0.6,0.6666666666666666,0.5,0.43333333333333335,0.53125,0,0.5227272727272727,0.5,0,0.7777777777777778,0.4723404255319149,1.0,1.0,0.3333333333333333,0.16666666666666666,0.3695652173913043,0.4215686274509804,0.45652173913043476,0.5,0.47058823529411764,1.0,0.49097472924187724,0.45652173913043476,0.4577777777777778,0,0.47692307692307695,0.5,0.6,0.6875,0.4166666666666667,0.54,0.5,0.6666666666666666,0.75,0.5470588235294118,0.4838709677419355,1.0,1.0,0.5294117647058824,0.8,1.0,0.42857142857142855,1.0,0.24242424242424243,0.4827586206896552,0.5,0.5384615384615384,0.25,0.1
Amumu,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.5,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,1.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.0,0.0,0,1.0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
Anivia,0,0.0,0,0.5384615384615384,0,0,0.5,0.26666666666666666,0,0.3333333333333333,0.7272727272727273,0.0,0,0.5384615384615384,0.5454545454545454,0.3333333333333333,0.0,0,0.4,1.0,0,0.0,0,0.3333333333333333,0.5652173913043478,0,0.6,0,0,0.3333333333333333,0.5,0.3333333333333333,0.5,0,0.7,0.6842105263157895,0.5454545454545454,0.75,0,0.5,0.5,0,0.3333333333333333,0.25,1.0,0.0,0.4782608695652174,1.0,0.3333333333333333,0.6923076923076923,1.0,0.3333333333333333,0,1.0,0,0.5,0.2857142857142857,0.625,0.0,0.3333333333333333,0.5,0.2,0,0.42857142857142855,0.6190476190476191,0.5454545454545454,0.0,0.75,0.0,0.5454545454545454,0,1.0,0,0.0,0.6666666666666666,0.16666666666666666,0,0.4,0.2222222222222222,0,0.0,0.25,0.5555555555555556,0,0,0.75,0,1.0,0,0.5,0.0,0.5,0,0.16666666666666666,0.5,1.0,0,0.5714285714285714,0,0,0,0.5714285714285714,0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.0,1.0,0,0.0,0,0.45454545454545453,0.5,0.4166666666666667,0,0.5,1.0,1.0,0,0.25,0.0,0,1.0,0,0.5,0.5581395348837209,0,0,0,1.0,0,0,0,0,0,0.0,0.5,0,0.4
Annie,0,0.5238095238095238,0,0.4117647058823529,0,0.5,0,0.25,0,0.6818181818181818,1.0,0.5,0,0.42857142857142855,0.7142857142857143,0.0,0.4,1.0,0.5964912280701754,0,0.4,0.8,1.0,0.5555555555555556,0.5454545454545454,0.5454545454545454,0.5555555555555556,0,0,1.0,0.3333333333333333,1.0,1.0,0,0.5714285714285714,0.5,0.56,0.5,0,0,0.5333333333333333,0,0.6206896551724138,0.5,0.75,0.5,0,0.5,0.25806451612903225,0.5,1.0,0.45,0,0,0,0.4,0.5,0,0,0.55,0.4230769230769231,0.6071428571428571,0.5675675675675675,0.5,0.5555555555555556,0.525,1.0,0.5,0,0.3888888888888889,0,0,0,0,0.46153846153846156,0.5714285714285714,0,0.5263157894736842,0.34615384615384615,0,0.6666666666666666,0.25,0.6666666666666666,0,0.0,1.0,0,0,0,0.5394736842105263,0.0,0.9,0.3333333333333333,0.6875,0.5,0.48,0,0.5,0.4,0,0.625,0.5081967213114754,0,0,0,0,0.3333333333333333,0.0,0,0,0,0,0.5416666666666666,0.6666666666666666,0.0,0,0.375,1.0,1.0,0.6,0.875,0.7142857142857143,0.0,0,0.5714285714285714,0.4482758620689655,0.2,0,0,0,0.8461538461538461,1.0,1.0,0,0.5,0.25,1.0,0,0,0
Ashe,0,0.39655172413793105,0.0,0.5340909090909091,1.0,0.7333333333333333,0.75,0.5,0.16666666666666666,0.5806451612903226,0.4,0.4782608695652174,0.2857142857142857,0.5282051282051282,0.48520710059171596,0.45161290322580644,0.47368421052631576,0.8333333333333334,0.5319148936170213,0.3333333333333333,0.6,1.0,1.0,0.4845360824742268,0.4854771784232365,0.6,0.5242718446601942,0,1.0,0.5102040816326531,0.35294117647058826,0.55,0.4897959183673469,0,0.4636363636363636,0.501779359430605,0.5454545454545454,0.6285714285714286,0.0,1.0,0.45454545454545453,0.3958333333333333,0.5,0.4642857142857143,0.6666666666666666,0.5416666666666666,0.5292307692307693,0.25,0.38666666666666666,0.5231788079470199,0.0,0.4722222222222222,0.8,0.5,0.0,0.5081967213114754,0.43243243243243246,0.5625,0.4857142857142857,0.5757575757575758,0.5333333333333333,0.4918032786885246,0.625,0.5625,0.5350877192982456,0.5298013245033113,1.0,0.2857142857142857,0.45794392523364486,0.5766871165644172,0,0.59375,0,0,0.4117647058823529,0.5925925925925926,0,0.45806451612903226,0.5789473684210527,0.5,0.42857142857142855,0.65,0.5257142857142857,0,0.3333333333333333,0.5084745762711864,0.0,0.6388888888888888,0,0.5504201680672269,0.5168539325842697,0.4387755102040816,1.0,0.5196850393700787,0.4823529411764706,0.5238095238095238,1.0,0.4873417721518987,0.25,1.0,0.25,0.48295454545454547,1.0,0.6666666666666666,0.5625,0.6086956521739131,0.38513513513513514,0.48,0.46534653465346537,0.47368421052631576,0.30303030303030304,1.0,0.44516129032258067,0.7142857142857143,0.47619047619047616,0,0.5,0.43478260869565216,0,0.6666666666666666,0.49279538904899134,0.4,0.0,0.5,1.0,0.5932203389830508,0.4567901234567901,0,0.6666666666666666,0.5614035087719298,1.0,1.0,0.5714285714285714,0,0.3684210526315789,0.4444444444444444,0.4444444444444444,0.5294117647058824,0,0.5230769230769231
AurelionSol,0,1.0,0,0.6,0,0,0,0.8333333333333334,0,0.4,0.75,0.0,0,0.8,0.4,0.6666666666666666,0.8,0.6666666666666666,0.6363636363636364,0,0,0,0,0.0,0.75,1.0,0.75,0,0,1.0,0,1.0,0.5,0,1.0,0.6,0.6666666666666666,0.6,0,0,0.5,0.5,0.0,0.8,0,0.5,0.6875,0,0.6666666666666666,0.65,0,1.0,0,0,0,0.8,0.625,0,1.0,0.0,0,0.5,0,0,0.6,0.8,0,0,0.5714285714285714,0.6363636363636364,0,1.0,0,0,0,0.75,0,0.42857142857142855,0.75,0,0,0.4,0.8,0,0,0.8333333333333334,0.0,0.5,0,0.5,0.8571428571428571,0.75,0,0.6363636363636364,0.7272727272727273,1.0,0,0.5,1.0,0,0,0.6428571428571429,0,0,0.0,0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.0,0.0,0,0.625,1.0,0.8,0,0,0.3333333333333333,0,0,0.5555555555555556,0,0,0,0,0.25,0.8333333333333334,0,0.0,1.0,0,0,0,0,0.0,0,0,0.0,0,0.5
Azir,0.0,0.65,0,0.5539568345323741,0,0.6666666666666666,0.3181818181818182,0.41935483870967744,0.6,0,0.4177215189873418,0.3333333333333333,0.6666666666666666,0.5878378378378378,0.6,0.6,0.43902439024390244,0.6666666666666666,0.5121951219512195,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5555555555555556,0.5370370370370371,0.6666666666666666,0.5040650406504065,0,0.5,0.42857142857142855,0.4186046511627907,0.75,0.4594594594594595,0,0.5454545454545454,0.5739644970414202,0.5375,0.6571428571428571,0,0.0,0.5581395348837209,0.5,0.6181818181818182,0.5283018867924528,0.5714285714285714,0.5555555555555556,0.453125,0.42857142857142855,0.5147058823529411,0.5444444444444444,1.0,0.5769230769230769,0,0,0,0.5333333333333333,0.4375,0.6119402985074627,0,0.6304347826086957,0.4186046511627907,0.43902439024390244,0.5,0.5789473684210527,0.6153846153846154,0.5178571428571429,0.8333333333333334,0.5833333333333334,0.25,0.5,1.0,0.25,0,0,0.47058823529411764,0.78125,0,0.6666666666666666,0.5094339622641509,1.0,0.3,0.4642857142857143,0.6538461538461539,0.5384615384615384,0,0.5192307692307693,0,1.0,0.4,0.5352112676056338,0.625,0.75,0.75,0.4909090909090909,0.53,0.6111111111111112,0,0.5873015873015873,0.8,0,0.75,0.5454545454545454,1.0,0.0,0.6153846153846154,0.5882352941176471,1.0,0.5925925925925926,0.5833333333333334,0,0.6470588235294118,0,0.5454545454545454,0.675,0.5094339622641509,0,0.5625,0.75,0,0.5833333333333334,0.5,0.7222222222222222,0.6153846153846154,0.5714285714285714,0.6,0.558282208588957,0.4634146341463415,1.0,1.0,0.25,0.5714285714285714,0.5,0.8333333333333334,0,0.3,0.5,1.0,0.7857142857142857,0.5555555555555556,0.5
