index,blueTop,blueTopVs,blueTopCoop,blueJungle,blueJungleVs,blueJungleCoop,blueMiddle,blueMiddleVs,blueMiddleCoop,blueADC,blueADCVs,blueADCCoop,blueSupport,blueSupportVs,blueSupportCoop,redTop,redTopVs,redTopCoop,redJungle,redJungleVs,redJungleCoop,redMiddle,redMiddleVs,redMiddleCoop,redADC,redADCVs,redADCCoop,redSupport,redSupportVs,redSupportCoop,blueTopChamp,blueTopChampVs,blueTopChampCoop,blueJungleChamp,blueJungleChampVs,blueJungleChampCoop,blueMiddleChamp,blueMiddleChampVs,blueMiddleChampCoop,blueADCChamp,blueADCChampVs,blueADCChampCoop,blueSupportChamp,blueSupportChampVs,blueSupportChampCoop,redTopChamp,redTopChampVs,redTopChampCoop,redJungleChamp,redJungleChampVs,redJungleChampCoop,redMiddleChamp,redMiddleChampVs,redMiddleChampCoop,redADCChamp,redADCChampVs,redADCChampCoop,redSupportChamp,redSupportChampVs,redSupportChampCoop,
0,Dyrus,2.642857142857143,0,Santorin,1.8242424242424242,0,Bjergsen,3.454508819640399,0,WildTurtle,3.0760533046170413,0,Lustboy,2.642857142857143,0,Balls,2.248449406344143,0,Meteos,2.2407891022021453,0,Hai,2.02049127343245,0,Sneaky,2.587719298245614,0,LemonNation,2.262032085561497,0,Irelia,2.303430960991992,0,RekSai,2.472249520500803,0,Ahri,2.424657660071185,0,Jinx,2.524872526142943,0,Janna,2.56634077386377,0,Gnar,2.3625362892254422,0,Elise,2.5994266153373746,0,Fizz,2.3968886015944837,0,Sivir,2.5461741893281,0,Thresh,2.803422862943906,0,
1,Cris,0.6666666666666666,0,Impaler,0.0,0,Jesiz,0.0,0,Mash,1.0,0,Sheep,0.0,0,Gamsu,5.0,0,Crumbzz,5.0,0,Shiphtur,4.166666666666666,0,CoreJJ,5.0,0,KiWiKiD,4.166666666666666,0,Gnar,2.5677936773924483,0,Rengar,1.8584526479213386,0,Ahri,2.170809150459899,0,Caitlyn,2.1668886469872572,0,Leona,2.349099099099099,0,Irelia,2.6366680008672305,0,JarvanIV,2.607612580551346,0,Azir,3.0454545454545454,0,Corki,2.320130274175458,0,Annie,3.277091377091377,0,
2,Flaresz,3.833333333333333,0,ShorterACE,5.0,0,Pobelter,2.9904214559386975,0,Altec,3.0214285714285714,0,Gleeb,5.0,0,Hauntzer,1.6706896551724137,0,Saintvicious,1.0,0,Keane,1.4841269841269842,0,Cop,1.0,0,BunnyFuFuu,0.0,0,Renekton,2.291917233739516,0,Rengar,2.3533724340175954,0,Fizz,3.234933775702208,0,Sivir,3.0303734955811166,0,Annie,3.131141922203628,0,Sion,1.3416666666666666,0,LeeSin,2.162576811453216,0,Azir,2.6572410147991548,0,Corki,2.214721202970097,0,Janna,2.582055442866802,0,
3,Rhux,0.0,0,Rush,1.2564102564102564,0,XiaoWeiXiao,1.125,0,Apollo,1.4274033500039693,0,Adrian,2.034604284604285,0,Quas,3.40227501256913,0,IWDominate,3.7019230769230775,0,Fenix,3.5151515151515147,0,KEITH,5.0,0,Xpecial,3.5372325043377675,0,Irelia,2.3087662707915872,0,JarvanIV,2.717044405144345,0,Leblanc,2.450874125874126,0,Sivir,2.641711525189786,0,Thresh,2.638948786235649,0,Gnar,2.591171594851879,0,Nunu,2.40498667998668,0,Lulu,2.397044622044622,0,KogMaw,2.3371880968533385,0,Janna,2.512263893027987,0,
4,Benny,5.0,0,Xmithie,5.0,0,Link,5.0,0,Doublelift,5.0,0,aphromoo,5.0,0,CaliTrlolz8,0.0,0,Porpoise8,0.0,0,Slooshi8,0.0,0,Maplestreet8,0.0,0,Dodo8,0.0,0,Gnar,2.5920946210982265,0,JarvanIV,2.9447186395077214,0,Lissandra,2.568958855246918,0,Tristana,2.3205839793281657,0,Janna,2.2174450026642307,0,Sion,2.702991452991453,0,RekSai,2.336968865671722,0,Lulu,2.151007326007326,0,Corki,2.306446364216585,0,Annie,2.858784893267652,0,
5,Gamsu,1.3571428571428572,0,Crumbzz,0.0,0,Shiphtur,1.2301587301587302,0,CoreJJ,1.3571428571428572,0,KiWiKiD,1.1183261183261182,0,Rhux,5.0,0,Rush,3.984126984126984,0,XiaoWeiXiao,3.0,0,Apollo,3.9610389610389616,0,Adrian,3.992063492063492,0,Kassadin,2.6448168028805736,0,Rengar,2.41161121275662,0,Leblanc,2.5060728098944227,0,Sivir,2.593513602261849,0,Annie,2.7345864661654136,0,Gnar,2.3165238626108193,0,JarvanIV,2.6519993590656603,0,Lulu,2.435656268130495,0,Corki,2.270684103378207,0,Thresh,2.4345355128559394,0,
6,Cris,3.3,0,Impaler,4.8,0,Jesiz,4.55,0,Mash,2.585714285714286,0,Sheep,3.3,0,Flaresz,0.0,0,ShorterACE,1.0,0,Pobelter,2.357142857142857,0,Altec,2.107142857142857,0,Gleeb,1.0,0,Irelia,2.4943064182194616,0,JarvanIV,2.5870183083189917,0,Xerath,2.8983408748114634,0,Corki,2.7568774905030398,0,Janna,2.942666003970044,0,Renekton,2.215717029449424,0,LeeSin,2.0786300716605663,0,Leblanc,2.6488286076741847,0,Tristana,2.469752597286324,0,Nami,1.9078625981065005,0,
7,Quas,4.230769230769231,0,IWDominate,4.75,0,FeniX,4.75,0,KEITH,5.0,0,Xpecial,4.214285714285714,0,Benny,0.0,0,Xmithie,0.9203296703296703,0,Link,0.0,0,Doublelift,1.1346153846153846,0,Aphromoo,0.0,0,Renekton,2.3753392147758348,0,JarvanIV,2.5198562626631684,0,Azir,2.5383016208597606,0,Caitlyn,2.206170187896321,0,Annie,3.018773644388398,0,Rumble,2.2550096030729834,0,Rengar,1.9307556313824394,0,Leblanc,2.8535565209983815,0,Sivir,2.3125283869136326,0,Blitzcrank,2.9897089270490804,0,
8,Balls,2.253968253968254,0,Meteos,2.166666666666667,0,Hai,2.32010582010582,0,Sneaky,2.3957264957264957,0,LemonNation,2.250768555116381,0,Hauntzer,3.522504468156642,0,Saintvicious,2.5,0,Keane,2.256926406926407,0,Cop,2.5,0,Bunny FuFuu,2.833333333333333,0,Sion,1.7385375494071145,0,RekSai,2.3972787110415803,0,Orianna,2.027599486521181,0,KogMaw,1.6266233766233769,0,Janna,2.231912810989798,0,Kassadin,3.341559656267659,0,Vi,3.5482758620689654,0,Zed,3.052090592334495,0,Corki,2.349952200949236,0,Morgana,2.6861697537965945,0,
9,CaliTrlolz8,2.5,0,Porpoise8,2.5,0,Slooshi8,2.5,0,Maplestreet8,2.5,0,Dodo8,2.5,0,Dyrus,2.5,0,Santorin,2.5,0,Bjergsen,2.5,0,WildTurtle,2.5,0,Lustboy,2.5,0,Irelia,2.3576824936208536,0,Nocturne,3.4333333333333336,0,Orianna,2.096364210773894,0,Sivir,2.633058245994597,0,Nami,2.439827135928367,0,Gnar,2.4542703683320086,0,Rengar,2.2583651642475173,0,Leblanc,2.6516232036292777,0,Graves,2.528627446244408,0,Morgana,2.1468483978957438,0,
