,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
0,10000-10000_game_1,Royal Club,Invictus Gaming Young,PandaC,Jax,milkyway,Sejuani,Xzz,Akali,Zinco,Kai'Sa,Bunny,Nautilus,Wen,K'Sante,Tianzhen,Vi,MG,Galio,xiaoyueji,Zeri,Ke,Alistar,1,0
1,10000-10000_game_2,Invictus Gaming Young,Royal Club,Wen,Jax,Tianzhen,Maokai,MG,Ryze,xiaoyueji,Xayah,Ke,Rakan,PandaC,Gragas,milkyway,Graves,Xzz,Galio,Zinco,Aphelios,Bunny,Tahm Kench,0,1
2,10000-10000_game_3,Invictus Gaming Young,Royal Club,Wen,Fiora,Tianzhen,Sejuani,MG,Gragas,xiaoyueji,Aphelios,Ke,Annie,PandaC,K'Sante,milkyway,Diana,Xzz,Nocturne,Zinco,Twitch,ziyou,Rakan,1,0
3,10000-10000_game_4,Royal Club,Invictus Gaming Young,PandaC,Aatrox,milkyway,Wukong,Xzz,Vex,Zinco,Zeri,ziyou,Lulu,Wen,Vladimir,Tianzhen,Lee Sin,MG,Taliyah,xiaoyueji,Lucian,Ke,Nami,0,1
4,10000-10000_game_5,Royal Club,Invictus Gaming Young,PandaC,Sion,milkyway,Karthus,Xzz,Ryze,Zinco,Xayah,ziyou,Alistar,Wen,Camille,Tianzhen,Poppy,MG,Aurelion Sol,xiaoyueji,Draven,Ke,Nautilus,0,1
5,10001-10001_game_1,Invictus Gaming Young,Rare Atom Period,Wen,K'Sante,Tianzhen,Lee Sin,MG,Swain,xiaoyueji,Xayah,Ke,Rakan,torch,Gwen,camellia,Viego,doing,Veigar,Eisley,Senna,zzl,Yone,0,1
6,10001-10001_game_2,Invictus Gaming Young,Rare Atom Period,Wen,Gangplank,Tianzhen,Hecarim,MG,Ryze,xiaoyueji,Aphelios,Ke,Annie,torch,Lucian,camellia,Wukong,doing,Ahri,Eisley,Xayah,zzl,Rakan,0,1
7,10001-10001_game_3,Invictus Gaming Young,Rare Atom Period,Wen,Jax,Tianzhen,Vi,MG,Ahri,xiaoyueji,Lucian,Ke,Nami,torch,Gnar,camellia,Nidalee,doing,K'Sante,Eisley,Caitlyn,zzl,Zoe,0,1
8,10002-10002_game_1,Top Esports Challenger,Royal Club,Aspire,K'Sante,naiyou,Maokai,Wangxiao,Tristana,JiaQi,Jinx,Niket,Lulu,PandaC,Ornn,milkyway,Wukong,Xzz,Ahri,zhiqiuyi,Aphelios,Bunny,Thresh,1,0
9,10002-10002_game_2,Royal Club,Top Esports Challenger,PandaC,Sion,milkyway,Graves,Xzz,Galio,zhiqiuyi,Jinx,Bunny,Nautilus,Aspire,Aatrox,naiyou,Elise,Wangxiao,Gragas,JiaQi,Caitlyn,Niket,Ashe,1,0
10,10002-10002_game_3,Top Esports Challenger,Royal Club,Aspire,Kennen,naiyou,Lee Sin,Wangxiao,Lissandra,JiaQi,Xayah,Niket,Renata Glasc,PandaC,Malphite,milkyway,Diana,Xzz,Rumble,zhiqiuyi,Twitch,ziyou,Rakan,0,1
11,10002-10002_game_4,Royal Club,Top Esports Challenger,PandaC,Darius,milkyway,Sejuani,Xzz,Akali,zhiqiuyi,Zeri,ziyou,Lulu,Aspire,Sion,naiyou,Vi,Wangxiao,Galio,JiaQi,Aphelios,Niket,Nautilus,1,0
12,10003-10003_game_1,Invictus Gaming Young,Royal Club,Wen,K'Sante,Tianzhen,Sejuani,MG,Ryze,xiaoyueji,Zeri,Ke,Braum,PandaC,Darius,milkyway,Graves,Xzz,Galio,zhiqiuyi,Aphelios,Bunny,Nautilus,1,0
13,10003-10003_game_2,Royal Club,Invictus Gaming Young,PandaC,Jax,milkyway,Sejuani,Xzz,Sylas,zhiqiuyi,Xayah,Bunny,Rakan,Wen,Sion,Tianzhen,Vi,MG,Ahri,xiaoyueji,Aphelios,Ke,Annie,0,1
14,10003-10003_game_3,Royal Club,Invictus Gaming Young,PandaC,K'Sante,milkyway,Kindred,Xzz,Vex,zhiqiuyi,Jinx,Bunny,Thresh,Wen,Malphite,Tianzhen,Lee Sin,MG,Sylas,xiaoyueji,Xayah,Ke,Rakan,0,1
15,10004-10004_game_1,Top Esports Challenger,Royal Club,Aspire,Jax,naiyou,Wukong,Wangxiao,Ryze,JiaQi,Xayah,Niket,Nautilus,PandaC,Gragas,milkyway,Vi,Xzz,Rumble,zhiqiuyi,Aphelios,Bunny,Leona,0,1
16,10004-10004_game_2,Royal Club,Top Esports Challenger,PandaC,Kennen,milkyway,Sejuani,Xzz,Akali,zhiqiuyi,Zeri,Bunny,Nautilus,Aspire,Vladimir,naiyou,Taliyah,Wangxiao,K'Sante,JiaQi,Jinx,Niket,Lulu,0,1
17,10004-10004_game_3,Top Esports Challenger,Royal Club,Aspire,Gragas,naiyou,Vi,Wangxiao,Veigar,JiaQi,Zeri,Niket,Braum,PandaC,K'Sante,milkyway,Wukong,Xzz,Ahri,zhiqiuyi,Jinx,Bunny,Thresh,1,0
18,10004-10004_game_4,Royal Club,Top Esports Challenger,PandaC,Ornn,milkyway,Kindred,Xzz,Galio,zhiqiuyi,Xayah,Bunny,Blitzcrank,Aspire,Fiora,naiyou,Elise,Wangxiao,Kled,JiaQi,Varus,Niket,Ashe,0,1
19,10005-10005_game_1,ThunderTalk Gaming,Royal Never Give Up,HOYA,Kennen,Beichuan,Wukong,ucal,Annie,huanfeng,Varus,yaoyao,Leona,Breathe,Sion,Wei,Vi,Angel,Ryze,GALA,Aphelios,Ming,Nautilus,0,1
20,10005-10005_game_2,ThunderTalk Gaming,Royal Never Give Up,HOYA,Gragas,Beichuan,Sejuani,ucal,Yone,huanfeng,Aphelios,yaoyao,Nautilus,Breathe,Kennen,Wei,Wukong,Angel,LeBlanc,GALA,Jinx,Ming,Leona,1,0
21,10005-10005_game_3,Royal Never Give Up,ThunderTalk Gaming,Breathe,Kennen,Wei,Wukong,Angel,Vex,GALA,Xayah,Ming,Nautilus,HOYA,K'Sante,Beichuan,Xin Zhao,ucal,LeBlanc,huanfeng,Zeri,yaoyao,Rakan,0,1
22,10005-10005_game_4,ThunderTalk Gaming,Royal Never Give Up,HOYA,Kennen,Beichuan,Wukong,ucal,Taliyah,huanfeng,Aphelios,yaoyao,Nautilus,Breathe,Gragas,Wei,Vi,Angel,Ahri,GALA,Zeri,Ming,Leona,1,0
23,10006-10006_game_1,Top Esports,Team WE,Wayward,Olaf,Tian,Vi,Rookie,LeBlanc,JackeyLove,Lucian,Mark,Nami,Biubiu,K'Sante,Heng,Maokai,Shanks,Ryze,Hope,Aphelios,Iwandy,Nautilus,0,1
24,10006-10006_game_2,Top Esports,Team WE,Wayward,K'Sante,Tian,Vi,Rookie,Ahri,JackeyLove,Lucian,Mark,Nami,Biubiu,Renekton,Heng,Maokai,Shanks,Cassiopeia,Hope,Aphelios,Iwandy,Nautilus,0,1
25,10006-10006_game_3,Top Esports,Team WE,Wayward,K'Sante,Tian,Lee Sin,Rookie,Annie,JackeyLove,Varus,Mark,Nautilus,Biubiu,Sion,Heng,Maokai,Shanks,Tristana,Hope,Lucian,Iwandy,Nami,1,0
26,10006-10006_game_4,Team WE,Top Esports,Biubiu,Sion,Heng,Maokai,Shanks,Ryze,Hope,Aphelios,Iwandy,Rakan,Wayward,Gwen,Tian,Vi,Rookie,Ahri,JackeyLove,Xayah,Mark,Nautilus,1,0
27,10007-10007_game_1,Royal Never Give Up,Bilibili Gaming,Breathe,K'Sante,Wei,Vi,Angel,Annie,GALA,Zeri,Ming,Nautilus,Bin,Gwen,Xun,Wukong,Yagao,LeBlanc,Elk,Xayah,ON,Rakan,0,1
28,10007-10007_game_2,Bilibili Gaming,Royal Never Give Up,Bin,Kennen,Xun,Viego,Yagao,Veigar,Elk,Zeri,ON,Rakan,Breathe,Gragas,Wei,Lee Sin,Angel,Annie,GALA,Aphelios,Ming,Thresh,0,1
