,Player,Plays,Win_Count,Top_Plays,Top_Win_Count,Top_Win_Ratio,Jungle_Plays,Jungle_Win_Count,Jungle_Win_Ratio,Middle_Plays,Middle_Win_Count,Middle_Win_Ratio,ADC_Plays,ADC_Win_Count,ADC_Win_Ratio,Support_Plays,Support_Win_Count,Support_Win_Ratio
0,Bang,403,2.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,403.0,287.0,0.7121588089330024,0.0,0.0,0.5
1,Wolf,384,40.0,0.0,0.0,0.5,4.0,2.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,380.0,275.0,0.7236842105263158
2,Faker,365,20.0,0.0,0.0,0.5,0.0,0.0,0.5,365.0,257.0,0.7041095890410959,0.0,0.0,0.5,0.0,0.0,0.5
3,Smeb,334,20.0,334.0,224.0,0.6706586826347305,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
4,Score,329,62.0,0.0,0.0,0.5,329.0,200.0,0.60790273556231,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
5,GorillA,329,110.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,329.0,217.0,0.6595744680851063
6,Arrow,328,27.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,328.0,183.0,0.5579268292682927,0.0,0.0,0.5
7,CuVee,324,8.0,324.0,183.0,0.5648148148148148,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
8,Bjergsen,318,16.0,0.0,0.0,0.5,0.0,0.0,0.5,318.0,207.0,0.6509433962264151,0.0,0.0,0.5,0.0,0.0,0.5
9,Ssumday,318,40.0,318.0,178.0,0.559748427672956,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
10,PraY,316,8.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,316.0,207.0,0.6550632911392406,0.0,0.0,0.5
11,Kuro,313,1.0,0.0,0.0,0.5,0.0,0.0,0.5,313.0,199.0,0.6357827476038339,0.0,0.0,0.5,0.0,0.0,0.5
12,Sneaky,305,16.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,305.0,178.0,0.5836065573770491,0.0,0.0,0.5
13,Crown,295,1.0,0.0,0.0,0.5,0.0,0.0,0.5,295.0,177.0,0.6,0.0,0.0,0.5,0.0,0.0,0.5
14,Ambition,294,20.0,0.0,0.0,0.5,294.0,183.0,0.6224489795918368,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
15,Hauntzer,293,12.0,293.0,190.0,0.6484641638225256,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
16,Svenskeren,291,8.0,0.0,0.0,0.5,291.0,189.0,0.6494845360824743,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
17,Xmithie,284,10.0,0.0,0.0,0.5,284.0,163.0,0.573943661971831,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
18,aphromoo,283,133.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,2.0,0.0,0.0,281.0,159.0,0.5658362989323843
19,WildTurtle,275,29.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,275.0,163.0,0.5927272727272728,0.0,0.0,0.5
20,Ryu,272,1.0,0.0,0.0,0.5,0.0,0.0,0.5,272.0,155.0,0.5698529411764706,0.0,0.0,0.5,0.0,0.0,0.5
21,Febiven,269,27.0,0.0,0.0,0.5,0.0,0.0,0.5,269.0,161.0,0.5985130111524164,0.0,0.0,0.5,0.0,0.0,0.5
22,Odoamne,264,30.0,264.0,162.0,0.6136363636363636,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
23,Hylissang,261,2.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,261.0,135.0,0.5172413793103449
24,Sangyoon,261,2.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,261.0,114.0,0.4367816091954023,0.0,0.0,0.5
25,Rekkles,261,29.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,261.0,146.0,0.5593869731800766,0.0,0.0,0.5
26,Vizicsacsi,261,2.0,261.0,135.0,0.5172413793103449,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
27,Maple,259,166.0,0.0,0.0,0.5,0.0,0.0,0.5,259.0,177.0,0.6833976833976834,0.0,0.0,0.5,0.0,0.0,0.5
28,Reignover,254,22.0,0.0,0.0,0.5,254.0,151.0,0.594488188976378,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
29,Huni,253,3.0,253.0,179.0,0.7075098814229249,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
30,Pobelter,252,5.0,0.0,0.0,0.5,0.0,0.0,0.5,252.0,154.0,0.6111111111111112,0.0,0.0,0.5,0.0,0.0,0.5
31,Karsa,251,5.0,0.0,0.0,0.5,251.0,171.0,0.6812749003984063,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
32,SnowFlower,249,57.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,249.0,112.0,0.4497991967871486
33,Apollo,249,88.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,249.0,108.0,0.43373493975903615,0.0,0.0,0.5
34,Impact,249,4.0,249.0,148.0,0.5943775100401606,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
35,Doublelift,247,3.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,247.0,164.0,0.6639676113360324,0.0,0.0,0.5
36,Chei,247,81.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,247.0,132.0,0.5344129554655871
37,Olleh,244,6.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,244.0,135.0,0.5532786885245902
38,PowerOfEvil,244,13.0,0.0,0.0,0.5,0.0,0.0,0.5,244.0,117.0,0.47950819672131145,0.0,0.0,0.5,0.0,0.0,0.5
39,Jankos,243,183.0,0.0,0.0,0.5,243.0,140.0,0.5761316872427984,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
40,Mickey,242,53.0,0.0,0.0,0.5,0.0,0.0,0.5,242.0,109.0,0.45041322314049587,0.0,0.0,0.5,0.0,0.0,0.5
41,Ziv,239,2.0,239.0,169.0,0.7071129707112971,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
42,Darshan,237,2.0,237.0,129.0,0.5443037974683544,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
43,Stixxay,235,8.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,235.0,129.0,0.548936170212766,0.0,0.0,0.5
44,Albis,233,2.0,0.0,0.0,0.5,12.0,9.0,0.75,0.0,0.0,0.5,0.0,0.0,0.5,221.0,157.0,0.7104072398190046
45,Huhi,233,9.0,0.0,0.0,0.5,0.0,0.0,0.5,233.0,128.0,0.5493562231759657,0.0,0.0,0.5,0.0,0.0,0.5
46,Keane,233,2.0,0.0,0.0,0.5,0.0,0.0,0.5,233.0,117.0,0.5021459227467812,0.0,0.0,0.5,0.0,0.0,0.5
47,Trick,227,77.0,0.0,0.0,0.5,227.0,143.0,0.6299559471365639,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
48,CoreJJ,226,8.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,72.0,33.0,0.4583333333333333,154.0,107.0,0.6948051948051948
49,Duke,224,108.0,224.0,137.0,0.6116071428571429,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5
50,Jensen,224,9.0,0.0,0.0,0.5,0.0,0.0,0.5,224.0,137.0,0.6116071428571429,0.0,0.0,0.5,0.0,0.0,0.5
