teamTag,Games Played,Games Won,Win Ratio,Games Played Blue,Games Won Blue,Win Ratio Blue,Games Played Red,Games Won Red,Win Ratio Red
100,4,3,0.75,3,3,1.0,1,0,0.0,
17A,9,3,0.3333333333333333,4,1,0.25,5,2,0.4,
7h,74,33,0.44594594594594594,35,18,0.5142857142857142,39,15,0.38461538461538464,
A,33,12,0.36363636363636365,17,6,0.35294117647058826,16,6,0.375,
AE,75,27,0.36,38,15,0.39473684210526316,37,12,0.32432432432432434,
AF,10,6,0.6,4,3,0.75,6,3,0.5,
AFR,5,1,0.2,2,1,0.5,3,0,0.0,
AFs,220,110,0.5,111,65,0.5855855855855856,109,45,0.41284403669724773,
AHQ,61,28,0.45901639344262296,31,16,0.5161290322580645,30,12,0.4,
ALL,6,3,0.5,3,3,1.0,3,0,0.0,
ANC,50,19,0.38,26,12,0.46153846153846156,24,7,0.2916666666666667,
ANX,32,23,0.71875,19,15,0.7894736842105263,13,8,0.6153846153846154,
APX,53,25,0.4716981132075472,28,14,0.5,25,11,0.44,
AS,27,7,0.25925925925925924,13,4,0.3076923076923077,14,3,0.21428571428571427,
ASC,6,0,0.0,4,0,0.0,2,0,0.0,
AUR,130,74,0.5692307692307692,67,42,0.6268656716417911,63,32,0.5079365079365079,
AV,119,58,0.48739495798319327,59,30,0.5084745762711864,60,28,0.4666666666666667,
B2K,24,6,0.25,12,3,0.25,12,3,0.25,
BC,23,3,0.13043478260869565,9,1,0.1111111111111111,14,2,0.14285714285714285,
BE,21,1,0.047619047619047616,10,1,0.1,11,0,0.0,
BGG,16,5,0.3125,7,1,0.14285714285714285,9,4,0.4444444444444444,
BJK,106,58,0.5471698113207547,54,33,0.6111111111111112,52,25,0.4807692307692308,
BKT,6,0,0.0,3,0,0.0,3,0,0.0,
BMR,4,0,0.0,2,0,0.0,2,0,0.0,
BPI,14,4,0.2857142857142857,7,2,0.2857142857142857,7,2,0.2857142857142857,
C9,305,178,0.5836065573770491,153,90,0.5882352941176471,152,88,0.5789473684210527,
C9C,3,3,1.0,1,1,1.0,2,2,1.0,
CA,14,9,0.6428571428571429,7,4,0.5714285714285714,7,5,0.7142857142857143,
CF,2,0,0.0,1,0,0.0,1,0,0.0,
CG,6,2,0.3333333333333333,3,2,0.6666666666666666,3,0,0.0,
CGE,31,1,0.03225806451612903,16,1,0.0625,15,0,0.0,
CHF,131,88,0.6717557251908397,67,46,0.6865671641791045,64,42,0.65625,
CJ,49,20,0.40816326530612246,23,14,0.6086956521739131,26,6,0.23076923076923078,
CJE,159,72,0.4528301886792453,80,39,0.4875,79,33,0.4177215189873418,
CLB,2,0,0.0,1,0,0.0,1,0,0.0,
CLG,295,165,0.559322033898305,154,92,0.5974025974025974,141,73,0.5177304964539007,
CLK,70,18,0.2571428571428571,35,10,0.2857142857142857,35,8,0.22857142857142856,
CNB,70,29,0.4142857142857143,34,13,0.38235294117647056,36,16,0.4444444444444444,
COL,5,2,0.4,3,1,0.3333333333333333,2,1,0.5,
COW,5,2,0.4,3,2,0.6666666666666666,2,0,0.0,
CREW,14,2,0.14285714285714285,7,2,0.2857142857142857,7,0,0.0,
CRJ,22,7,0.3181818181818182,11,3,0.2727272727272727,11,4,0.36363636363636365,
CRW,111,59,0.5315315315315315,58,38,0.6551724137931034,53,21,0.39622641509433965,
CST,40,15,0.375,20,9,0.45,20,6,0.3,
CW,47,17,0.3617021276595745,24,11,0.4583333333333333,23,6,0.2608695652173913,
CWA,3,0,0.0,0,0,0,3,0,0.0,
Crew,2,0,0.0,1,0,0.0,1,0,0.0,
D9,57,29,0.5087719298245614,28,15,0.5357142857142857,29,14,0.4827586206896552,
DD,4,2,0.5,2,1,0.5,2,1,0.5,
