Name,Games Played,Games Won,Win Ratio,Blue Top Plays,Red Top Plays,Top Plays,Blue Top Wins,Red Top Wins,Top Wins,Blue Jungle, Red Jungle, Jungle,Blue Jungle Wins, Red Jungle Wins, Jungle Wins,Blue Middle, Red Middle, Middle,Blue Middle Wins, Red Middle Wins, Middle Wins,Blue ADC, Red ADC, ADC,Blue ADC Wins, Red ADC Wins, ADC Wins,Blue Support, Red Support, Support,Blue Support Wins, Red Support Wins, Support Wins,
Aatrox,5,2,0.4,0,4,4,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahri,620,317,0.5112903225806451,0,0,0,0,0,0,0,0,0,0,0,0,307,312,619,173,144,317,0,0,0,0,0,0,1,0,1,0,0,0
Akali,11,5,0.45454545454545453,5,5,10,2,2,4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Alistar,1450,708,0.4882758620689655,5,0,5,3,0,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,683,760,1443,368,335,703
Amumu,6,2,0.3333333333333333,0,0,0,0,0,0,5,1,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anivia,119,55,0.46218487394957986,0,0,0,0,0,0,0,0,0,0,0,0,47,72,119,25,30,55,0,0,0,0,0,0,0,0,0,0,0,0
Annie,241,135,0.5601659751037344,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,128,240,71,64,135
Ashe,1412,715,0.5063739376770539,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,730,1410,382,333,715,1,0,1,0,0,0
AurelionSol,75,49,0.6533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,32,43,75,24,25,49,0,0,0,0,0,0,0,0,0,0,0,0
Azir,799,429,0.5369211514392991,4,2,6,2,2,4,0,0,0,0,0,0,430,363,793,248,177,425,0,0,0,0,0,0,0,0,0,0,0,0
Bard,602,325,0.5398671096345515,0,0,0,0,0,0,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,305,294,599,180,143,323
Blitzcrank,181,104,0.574585635359116,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,101,180,50,54,104
Brand,50,25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,27,22,49,14,11,25
Braum,1865,897,0.4809651474530831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,916,1865,494,403,897
Caitlyn,1026,506,0.49317738791423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,500,1026,294,212,506,0,0,0,0,0,0
Camille,383,222,0.5796344647519582,200,148,348,128,76,204,6,2,8,4,0,4,1,2,3,1,1,2,0,0,0,0,0,0,17,7,24,11,1,12
Cassiopeia,800,424,0.53,12,8,20,8,3,11,0,0,0,0,0,0,337,442,779,189,223,412,0,0,0,0,0,0,1,0,1,1,0,1
Chogath,298,153,0.5134228187919463,109,107,216,64,50,114,24,16,40,15,6,21,23,19,42,12,6,18,0,0,0,0,0,0,0,0,0,0,0,0
Corki,1555,769,0.4945337620578778,0,0,0,0,0,0,0,0,0,0,0,0,391,466,857,206,215,421,337,361,698,181,167,348,0,0,0,0,0,0
Darius,46,21,0.45652173913043476,22,23,45,12,9,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diana,74,42,0.5675675675675675,1,1,2,0,0,0,0,0,0,0,0,0,38,34,72,22,20,42,0,0,0,0,0,0,0,0,0,0,0,0
DrMundo,100,33,0.33,33,48,81,12,12,24,5,13,18,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Draven,56,24,0.42857142857142855,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,28,26,54,12,11,23,0,0,0,0,0,0
Ekko,681,327,0.4801762114537445,182,203,385,102,99,201,49,45,94,23,18,41,88,114,202,41,44,85,0,0,0,0,0,0,0,0,0,0,0,0
Elise,1850,929,0.5021621621621621,0,0,0,0,0,0,953,892,1845,495,431,926,1,0,1,0,0,0,0,0,0,0,0,0,1,3,4,1,2,3
Evelynn,150,60,0.4,0,0,0,0,0,0,71,78,149,29,31,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Ezreal,1293,621,0.4802784222737819,0,0,0,0,0,0,1,4,5,0,1,1,60,60,120,31,24,55,574,594,1168,309,256,565,0,0,0,0,0,0
FiddleSticks,2,1,0.5,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiddlesticks,6,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,1,2,3,1,0,1
Fiora,476,242,0.5084033613445378,222,251,473,117,124,241,0,0,0,0,0,0,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fizz,311,168,0.5401929260450161,88,101,189,56,48,104,2,4,6,0,1,1,39,77,116,27,36,63,0,0,0,0,0,0,0,0,0,0,0,0
Galio,407,200,0.4914004914004914,82,69,151,41,26,67,0,1,1,0,0,0,141,94,235,78,46,124,0,0,0,0,0,0,7,13,20,2,7,9
Gangplank,457,234,0.5120350109409191,187,194,381,112,84,196,0,0,0,0,0,0,40,36,76,18,20,38,0,0,0,0,0,0,0,0,0,0,0,0
Garen,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Gnar,1167,584,0.5004284490145673,559,607,1166,302,281,583,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gragas,2277,1206,0.5296442687747036,194,197,391,100,83,183,889,980,1869,520,495,1015,0,1,1,0,0,0,0,0,0,0,0,0,6,10,16,3,5,8
Graves,1274,611,0.47959183673469385,24,31,55,14,13,27,531,502,1033,281,212,493,3,0,3,1,0,1,97,86,183,54,36,90,0,0,0,0,0,0
Hecarim,374,169,0.45187165775401067,115,115,230,59,44,103,68,73,141,30,34,64,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Heimerdinger,6,4,0.6666666666666666,0,1,1,0,0,0,0,0,0,0,0,0,2,2,4,2,1,3,1,0,1,1,0,1,0,0,0,0,0,0
Illaoi,33,15,0.45454545454545453,14,18,32,6,9,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irelia,401,201,0.5012468827930174,190,197,387,95,97,192,0,0,0,0,0,0,5,7,12,4,4,8,1,0,1,1,0,1,0,1,1,0,0,0
Ivern,205,112,0.5463414634146342,0,0,0,0,0,0,96,108,204,55,57,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Janna,792,423,0.5340909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,383,408,791,220,203,423
JarvanIV,1063,537,0.5051740357478833,219,206,425,133,100,233,299,327,626,153,144,297,6,6,12,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0
Jax,196,92,0.46938775510204084,96,87,183,48,36,84,8,5,13,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jayce,518,235,0.45366795366795365,136,101,237,69,44,113,0,2,2,0,1,1,156,121,277,79,42,121,0,2,2,0,0,0,0,0,0,0,0,0
Jhin,1239,641,0.5173527037933817,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,2,1,3,615,617,1232,340,298,638,0,0,0,0,0,0
Jinx,230,108,0.46956521739130436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,128,229,49,59,108,0,1,1,0,0,0
Kalista,1167,632,0.5415595544130248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,533,1166,368,263,631,1,0,1,1,0,1
Karma,1462,672,0.45964432284541723,1,2,3,1,1,2,0,2,2,0,0,0,136,99,235,65,40,105,1,0,1,0,0,0,575,646,1221,281,284,565
Karthus,39,19,0.48717948717948717,0,0,0,0,0,0,2,0,2,1,0,1,21,15,36,11,6,17,0,1,1,0,1,1,0,0,0,0,0,0
Kassadin,384,191,0.4973958333333333,16,15,31,7,10,17,1,0,1,0,0,0,157,195,352,83,91,174,0,0,0,0,0,0,0,0,0,0,0,0
Katarina,46,16,0.34782608695652173,1,0,1,0,0,0,0,0,0,0,0,0,21,24,45,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0
Kayle,33,10,0.30303030303030304,7,12,19,3,5,8,0,0,0,0,0,0,2,8,10,0,2,2,0,0,0,0,0,0,2,2,4,0,0,0
Kayn,29,11,0.3793103448275862,0,1,1,0,0,0,19,9,28,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennen,392,174,0.44387755102040816,148,134,282,68,52,120,0,0,0,0,0,0,3,2,5,2,1,3,30,19,49,17,5,22,34,22,56,18,11,29
