teamTag,Games Played,Games Won,Win Ratio,Games Played Blue,Games Won Blue,Win Ratio Blue,Games Played Red,Games Won Red,Win Ratio Red
100,4,3,0.75,3,3,1.0,1,0,0.0,
17A,7,2,0.2857142857142857,3,1,0.3333333333333333,4,1,0.25,
7h,62,26,0.41935483870967744,30,15,0.5,32,11,0.34375,
A,31,11,0.3548387096774194,15,5,0.3333333333333333,16,6,0.375,
AE,72,26,0.3611111111111111,36,14,0.3888888888888889,36,12,0.3333333333333333,
AF,8,4,0.5,3,2,0.6666666666666666,5,2,0.4,
AFR,4,0,0.0,1,0,0.0,3,0,0.0,
AFs,197,101,0.5126903553299492,99,60,0.6060606060606061,98,41,0.41836734693877553,
AHQ,54,25,0.46296296296296297,28,15,0.5357142857142857,26,10,0.38461538461538464,
ALL,5,3,0.6,3,3,1.0,2,0,0.0,
ANC,42,15,0.35714285714285715,21,10,0.47619047619047616,21,5,0.23809523809523808,
ANX,28,21,0.75,18,15,0.8333333333333334,10,6,0.6,
APX,50,25,0.5,27,14,0.5185185185185185,23,11,0.4782608695652174,
AS,24,7,0.2916666666666667,11,4,0.36363636363636365,13,3,0.23076923076923078,
ASC,6,0,0.0,4,0,0.0,2,0,0.0,
AUR,122,70,0.5737704918032787,64,39,0.609375,58,31,0.5344827586206896,
AV,107,52,0.48598130841121495,54,27,0.5,53,25,0.4716981132075472,
B2K,22,6,0.2727272727272727,12,3,0.25,10,3,0.3,
BC,19,3,0.15789473684210525,7,1,0.14285714285714285,12,2,0.16666666666666666,
BE,21,1,0.047619047619047616,10,1,0.1,11,0,0.0,
BGG,16,5,0.3125,7,1,0.14285714285714285,9,4,0.4444444444444444,
BJK,101,54,0.5346534653465347,52,32,0.6153846153846154,49,22,0.4489795918367347,
BKT,6,0,0.0,3,0,0.0,3,0,0.0,
BMR,3,0,0.0,2,0,0.0,1,0,0.0,
BPI,14,4,0.2857142857142857,7,2,0.2857142857142857,7,2,0.2857142857142857,
C9,270,154,0.5703703703703704,135,77,0.5703703703703704,135,77,0.5703703703703704,
C9C,2,2,1.0,0,0,0.5,2,2,1.0,
CA,13,8,0.6153846153846154,7,4,0.5714285714285714,6,4,0.6666666666666666,
CF,2,0,0.0,1,0,0.0,1,0,0.0,
CG,6,2,0.3333333333333333,3,2,0.6666666666666666,3,0,0.0,
CGE,24,1,0.041666666666666664,12,1,0.08333333333333333,12,0,0.0,
CHF,115,76,0.6608695652173913,56,38,0.6785714285714286,59,38,0.6440677966101694,
CJ,43,18,0.4186046511627907,21,12,0.5714285714285714,22,6,0.2727272727272727,
CJE,141,63,0.44680851063829785,72,37,0.5138888888888888,69,26,0.37681159420289856,
CLB,2,0,0.0,1,0,0.0,1,0,0.0,
CLG,268,153,0.5708955223880597,146,90,0.6164383561643836,122,63,0.5163934426229508,
CLK,61,14,0.22950819672131148,30,7,0.23333333333333334,31,7,0.22580645161290322,
CNB,67,28,0.417910447761194,32,12,0.375,35,16,0.45714285714285713,
COL,5,2,0.4,3,1,0.3333333333333333,2,1,0.5,
COW,4,2,0.5,2,2,1.0,2,0,0.0,
CREW,11,2,0.18181818181818182,6,2,0.3333333333333333,5,0,0.0,
CRJ,21,7,0.3333333333333333,11,3,0.2727272727272727,10,4,0.4,
CRW,94,50,0.5319148936170213,49,32,0.6530612244897959,45,18,0.4,
CST,36,14,0.3888888888888889,17,8,0.47058823529411764,19,6,0.3157894736842105,
CW,43,16,0.37209302325581395,22,10,0.45454545454545453,21,6,0.2857142857142857,
CWA,2,0,0.0,0,0,0.5,2,0,0.0,
Crew,2,0,0.0,1,0,0.0,1,0,0.0,
D9,53,27,0.5094339622641509,25,14,0.56,28,13,0.4642857142857143,
DD,4,2,0.5,2,1,0.5,2,1,0.5,
DF,12,1,0.08333333333333333,6,0,0.0,6,1,0.16666666666666666,
DFM,71,57,0.8028169014084507,35,29,0.8285714285714286,36,28,0.7777777777777778,
DH,1,1,1.0,1,1,1.0,0,0,0.5,
DIG,157,72,0.4585987261146497,79,39,0.4936708860759494,78,33,0.4230769230769231,
DLY,2,1,0.5,1,0,0.0,1,1,1.0,
DP,161,86,0.5341614906832298,73,45,0.6164383561643836,88,41,0.4659090909090909,
DW,111,68,0.6126126126126126,56,34,0.6071428571428571,55,34,0.6181818181818182,
DoR,9,0,0.0,5,0,0.0,4,0,0.0,
EDG,48,26,0.5416666666666666,22,14,0.6363636363636364,26,12,0.46153846153846156,
EEW,48,17,0.3541666666666667,26,10,0.38461538461538464,22,7,0.3181818181818182,
EG,3,3,1.0,2,2,1.0,1,1,1.0,
EL,49,18,0.3673469387755102,24,10,0.4166666666666667,25,8,0.32,
EMF,17,3,0.17647058823529413,8,2,0.25,9,1,0.1111111111111111,
EMP,31,12,0.3870967741935484,16,8,0.5,15,4,0.26666666666666666,
ESC,60,23,0.38333333333333336,32,13,0.40625,28,10,0.35714285714285715,
EUN,15,4,0.26666666666666666,5,1,0.2,10,3,0.3,
EVR,3,1,0.3333333333333333,2,1,0.5,1,0,0.0,
F5,11,6,0.5454545454545454,6,3,0.5,5,3,0.6,
FAC,12,4,0.3333333333333333,5,1,0.2,7,3,0.42857142857142855,
FB,137,60,0.43795620437956206,72,36,0.5,65,24,0.36923076923076925,
FG,65,37,0.5692307692307692,36,22,0.6111111111111112,29,15,0.5172413793103449,
FH,3,3,1.0,1,1,1.0,2,2,1.0,
FIS,2,0,0.0,1,0,0.0,1,0,0.0,
FLY,104,47,0.4519230769230769,59,27,0.4576271186440678,45,20,0.4444444444444444,
FNA,11,7,0.6363636363636364,7,4,0.5714285714285714,4,3,0.75,
FNC,261,150,0.5747126436781609,139,89,0.6402877697841727,122,61,0.5,
FOX,142,48,0.3380281690140845,77,29,0.37662337662337664,65,19,0.2923076923076923,
FSN,21,10,0.47619047619047616,11,5,0.45454545454545453,10,5,0.5,
FW,215,147,0.6837209302325581,116,83,0.7155172413793104,99,64,0.6464646464646465,
G2,193,122,0.6321243523316062,95,60,0.631578947368421,98,62,0.6326530612244898,
GAL,64,25,0.390625,32,16,0.5,32,9,0.28125,
GAM,21,9,0.42857142857142855,11,4,0.36363636363636365,10,5,0.5,
GCU,18,7,0.3888888888888889,8,4,0.5,10,3,0.3,
GET,33,23,0.696969696969697,19,12,0.631578947368421,14,11,0.7857142857142857,
GG,47,24,0.5106382978723404,24,12,0.5,23,12,0.5217391304347826,
GGS,4,0,0.0,3,0,0.0,1,0,0.0,
GIA,171,70,0.4093567251461988,87,34,0.39080459770114945,84,36,0.42857142857142855,
GMB,90,48,0.5333333333333333,44,26,0.5909090909090909,46,22,0.4782608695652174,
GRX,3,3,1.0,2,2,1.0,1,1,1.0,
GS,22,7,0.3181818181818182,11,4,0.36363636363636365,11,3,0.2727272727272727,
GV,47,26,0.5531914893617021,22,10,0.45454545454545453,25,16,0.64,
GlA,4,1,0.25,2,0,0.0,2,1,0.5,
H2K,231,142,0.6147186147186147,134,88,0.6567164179104478,97,54,0.5567010309278351,
H2k,5,3,0.6,3,1,0.3333333333333333,2,2,1.0,
HAF,41,15,0.36585365853658536,20,9,0.45,21,6,0.2857142857142857,
HKA,44,24,0.5454545454545454,25,14,0.56,19,10,0.5263157894736842,
HKE,131,62,0.4732824427480916,65,33,0.5076923076923077,66,29,0.4393939393939394,
HKES,13,10,0.7692307692307693,6,4,0.6666666666666666,7,6,0.8571428571428571,
