Name,Aatrox,Ahri,Akali,Alistar,Amumu,Anivia,Annie,Ashe,AurelionSol,Azir,Bard,Blitzcrank,Brand,Braum,Caitlyn,Camille,Cassiopeia,Chogath,Corki,Darius,Diana,DrMundo,Draven,Ekko,Elise,Evelynn,Ezreal,FiddleSticks,Fiddlesticks,Fiora,Fizz,Galio,Gangplank,Garen,Gnar,Gragas,Graves,Hecarim,Heimerdinger,Illaoi,Irelia,Ivern,Janna,JarvanIV,Jax,Jayce,Jhin,Jinx,Kalista,Karma,Karthus,Kassadin,Katarina,Kayle,Kayn,Kennen,Khazix,Kindred,Kled,KogMaw,Leblanc,LeeSin,Leona,Lissandra,Lucian,Lulu,Lux,Malphite,Malzahar,Maokai,MasterYi,MissFortune,MonkeyKing,Mordekaiser,Morgana,Nami,Nasus,Nautilus,Nidalee,Nocturne,Nunu,Olaf,Orianna,Ornn,Pantheon,Poppy,Quinn,Rakan,Rammus,RekSai,Renekton,Rengar,Riven,Rumble,Ryze,Sejuani,Shaco,Shen,Shyvana,Singed,Sion,Sivir,Skarner,Sona,Soraka,Swain,Syndra,TahmKench,Taliyah,Talon,Taric,Teemo,Thresh,Tristana,Trundle,Tryndamere,TwistedFate,Twitch,Udyr,Urgot,Varus,Vayne,Veigar,Velkoz,Vi,Viktor,Vladimir,Volibear,Warwick,Xayah,Xerath,XinZhao,Yasuo,Yorick,Zac,Zed,Ziggs,Zilean,Zoe,Zyra
Aatrox,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.6666666666666666,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
Ahri,1.0,0.5,0.5,0.5416666666666666,0.5,0.5,0.47368421052631576,0.5964912280701754,0.0,0.3684210526315789,0.3333333333333333,0.7142857142857143,0.3333333333333333,0.5,0.5,0.4444444444444444,0.4375,0.3333333333333333,0.5425531914893617,1.0,0.375,0.5454545454545454,0.25,0.6363636363636364,0.5384615384615384,0.7142857142857143,0.4927536231884058,0.5,0.5,0.36363636363636365,0.45454545454545453,0.5833333333333334,0.35294117647058826,0.5,0.6136363636363636,0.4166666666666667,0.5194805194805194,0.6666666666666666,0.5,0.5,0.45454545454545453,0.5,0.46551724137931033,0.38596491228070173,0.5,0.5517241379310345,0.5909090909090909,0.625,0.46296296296296297,0.7121212121212122,0.25,0.5,0.75,0.5,0.5,0.43478260869565216,0.5641025641025641,0.6,0.6,0.5,0.4482758620689655,0.41975308641975306,0.5833333333333334,0.5102040816326531,0.46835443037974683,0.5641025641025641,0.3333333333333333,0.3333333333333333,0.4375,0.5692307692307692,1.0,0.5,1.0,1.0,0.5476190476190477,0.5142857142857142,0.5,0.5,0.4166666666666667,0.0,0.8571428571428571,0.6153846153846154,0.5638297872340425,0.5,0.75,0.5185185185185185,0.3333333333333333,0.3333333333333333,0.5,0.651685393258427,0.5,0.6346153846153846,0.0,0.5081967213114754,0.76,0.3125,0.0,0.6428571428571429,1.0,0.0,0.14285714285714285,0.45098039215686275,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5166666666666667,0.375,0.4,0.625,1.0,0.5,0.4631578947368421,0.5862068965517241,0.4375,0.5,0.6666666666666666,0.5,0.5,0.4444444444444444,0.46153846153846156,0.5,1.0,0.5,0.6363636363636364,0.5897435897435898,0.5294117647058824,0.5,1.0,0.4166666666666667,0.4666666666666667,0.5,0.5,1.0,0.25,0.5,0.5555555555555556,0.45454545454545453,0.5,0.46153846153846156
Akali,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.5,0.0,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5
Alistar,0.5,0.4583333333333333,0.5,0.5,1.0,0.5,0.6071428571428571,0.4605263157894737,0.5,0.45901639344262296,0.504950495049505,0.14285714285714285,0.75,0.5242165242165242,0.5,0.43478260869565216,0.5375,0.4634146341463415,0.5151515151515151,0.5,0.375,0.6666666666666666,0.7142857142857143,0.4875,0.5223214285714286,0.7307692307692307,0.5040650406504065,0.5,0.0,0.5454545454545454,0.6470588235294118,0.5,0.4457831325301205,0.5,0.5244755244755245,0.4696485623003195,0.5196078431372549,0.5,0.5,0.0,0.46153846153846156,0.0,0.4462809917355372,0.4675324675324675,0.45454545454545453,0.5277777777777778,0.40350877192982454,0.5,0.45539906103286387,0.484375,1.0,0.4878048780487805,1.0,1.0,0.75,0.6956521739130435,0.42105263157894735,0.6307692307692307,0.5,0.43283582089552236,0.5352112676056338,0.37362637362637363,0.5,0.4574468085106383,0.552,0.6,0.5357142857142857,0.46875,0.36363636363636365,0.4601226993865031,0.0,0.4666666666666667,0.5,0.0,0.4375,0.5,1.0,0.5255474452554745,0.48484848484848486,1.0,0.4444444444444444,0.5357142857142857,0.5128205128205128,0.5,0.3333333333333333,0.48905109489051096,0.5,0.4791666666666667,0.25,0.5163636363636364,0.46875,0.5833333333333334,0.6666666666666666,0.5053763440860215,0.44155844155844154,0.5344827586206896,0.5,0.5210084033613446,0.5454545454545454,0.5,0.75,0.47685185185185186,0.5,1.0,0.2,0.16666666666666666,0.36363636363636365,0.42528735632183906,0.4878048780487805,0.5,0.45161290322580644,1.0,0.5,0.4642857142857143,0.47572815533980584,0.5,0.4827586206896552,0.5,0.5,0.6428571428571429,0.43137254901960786,0.5625,0.5,0.8,1.0,0.543046357615894,0.49056603773584906,0.5,1.0,0.5208333333333334,0.75,1.0,0.45454545454545453,1.0,0.21875,0.52,0.5,0.5833333333333334,0.25,0.125
Amumu,1.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Anivia,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.3333333333333333,0.7142857142857143,0.0,0.5,0.5,0.6,0.3333333333333333,0.0,0.5,0.25,1.0,0.5,0.0,0.5,0.3333333333333333,0.6111111111111112,0.5,0.6666666666666666,0.5,0.5,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.625,0.6470588235294118,0.5555555555555556,0.5,0.5,0.5,0.45454545454545453,0.5,0.3333333333333333,0.25,1.0,0.0,0.45,1.0,0.2857142857142857,0.6956521739130435,1.0,0.3333333333333333,0.5,1.0,0.5,0.5,0.2857142857142857,0.6,0.0,0.3333333333333333,0.5,0.2222222222222222,0.5,0.5,0.625,0.5,0.0,0.6666666666666666,0.0,0.5555555555555556,0.5,1.0,0.5,0.0,0.8,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,0.25,0.5555555555555556,0.5,0.5,0.75,0.5,1.0,0.5,0.48148148148148145,0.0,0.5,0.5,0.2,0.5454545454545454,1.0,0.5,0.4,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.5,0.5,0.5,0.4444444444444444,0.42857142857142855,0.47619047619047616,0.5,0.5,1.0,0.5,0.5,0.25,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.4
Annie,0.5,0.5263157894736842,0.5,0.39285714285714285,0.5,0.5,0.5,0.3333333333333333,0.5,0.6842105263157895,1.0,0.5,0.5,0.42857142857142855,0.6,0.0,0.3333333333333333,1.0,0.6,0.5,0.4,0.8,1.0,0.5,0.5,0.5,0.52,0.5,0.5,1.0,0.2857142857142857,1.0,1.0,0.5,0.5526315789473685,0.4722222222222222,0.5416666666666666,0.5,0.5,0.5,0.5384615384615384,0.5,0.6037735849056604,0.48484848484848486,0.6666666666666666,0.5,0.5,0.4666666666666667,0.23333333333333334,0.3333333333333333,1.0,0.4444444444444444,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5555555555555556,0.4583333333333333,0.6296296296296297,0.5714285714285714,0.5,0.5555555555555556,0.5,1.0,0.4,0.5,0.3877551020408163,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,0.5,0.5,0.3333333333333333,0.5,1.0,0.25,0.65,0.5,0.0,1.0,0.5,0.5,0.5,0.5352112676056338,0.0,0.9,0.3333333333333333,0.7096774193548387,0.3333333333333333,0.4782608695652174,0.5,0.5,0.25,0.5,0.6666666666666666,0.509090909090909,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5362318840579711,0.6818181818181818,0.0,0.5,0.375,1.0,1.0,0.6,0.8571428571428571,0.7142857142857143,0.0,0.5,0.5,0.42857142857142855,0.0,0.5,0.5,0.5,0.8333333333333334,1.0,1.0,0.5,0.5,0.2222222222222222,1.0,0.5,0.5,0.5
Ashe,0.5,0.40350877192982454,0.0,0.5394736842105263,1.0,0.75,0.6666666666666666,0.5,0.18181818181818182,0.5510204081632653,0.4166666666666667,0.5,0.3333333333333333,0.5272727272727272,0.477124183006536,0.44642857142857145,0.46956521739130436,0.8333333333333334,0.5465116279069767,0.3333333333333333,0.6,1.0,1.0,0.4878048780487805,0.4714285714285714,0.6,0.5277777777777778,0.5,1.0,0.5116279069767442,0.3448275862068966,0.5925925925925926,0.4883720930232558,0.5,0.46875,0.5119047619047619,0.5609756097560976,0.6206896551724138,0.0,1.0,0.4634146341463415,0.4,0.5333333333333333,0.43137254901960786,0.6875,0.5263157894736842,0.5429553264604811,0.25,0.36363636363636365,0.5150375939849624,0.0,0.4375,0.8,0.3333333333333333,0.0,0.4807692307692308,0.4338235294117647,0.6,0.45161290322580644,0.5862068965517241,0.5384615384615384,0.5151515151515151,0.5,0.5517241379310345,0.5196078431372549,0.5255474452554745,1.0,0.3333333333333333,0.46534653465346537,0.5866666666666667,0.5,0.6153846153846154,0.5,0.5,0.4375,0.5733333333333334,0.5,0.4744525547445255,0.5510204081632653,0.5,0.4,0.5833333333333334,0.5253164556962026,0.5,0.5,0.509090909090909,0.0,0.6285714285714286,0.5,0.5355450236966824,0.5308641975308642,0.43956043956043955,1.0,0.5213675213675214,0.4935064935064935,0.5,1.0,0.4825174825174825,0.3333333333333333,1.0,0.25,0.4720496894409938,1.0,0.6,0.6,0.5714285714285714,0.391304347826087,0.5,0.4666666666666667,0.4444444444444444,0.25925925925925924,1.0,0.4513888888888889,0.7692307692307693,0.4583333333333333,0.5,0.4666666666666667,0.42857142857142855,0.5,0.0,0.4935897435897436,0.4,0.0,0.5,1.0,0.5865384615384616,0.4805194805194805,0.5,0.6666666666666666,0.56,1.0,1.0,0.5,0.5,0.4117647058823529,0.47058823529411764,0.375,0.5,0.5,0.5213675213675214
AurelionSol,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.8181818181818182,0.5,0.25,0.75,0.0,0.5,0.8888888888888888,0.4,0.6666666666666666,0.8,1.0,0.6666666666666666,0.5,0.5,0.5,0.5,0.0,0.75,1.0,0.7142857142857143,0.5,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.625,0.6666666666666666,0.6,0.5,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.7142857142857143,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.8,0.7142857142857143,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.75,0.8,0.5,0.5,0.6666666666666666,0.7777777777777778,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,0.75,0.5,0.5,0.5,0.7692307692307693,0.5,0.5,0.8333333333333334,0.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.5,0.6,0.7272727272727273,1.0,0.5,0.42857142857142855,1.0,0.5,0.5,0.6923076923076923,0.5,0.5,0.0,0.5,0.8333333333333334,0.8333333333333334,0.4,0.0,0.0,0.5,0.6666666666666666,1.0,0.75,0.5,0.5,0.3333333333333333,0.5,0.5,0.5555555555555556,0.5,0.5,0.5,0.5,0.3333333333333333,0.8333333333333334,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5
Azir,0.0,0.631578947368421,0.5,0.5409836065573771,0.5,0.6666666666666666,0.3157894736842105,0.4489795918367347,0.75,0.5,0.4383561643835616,0.3333333333333333,0.6666666666666666,0.5971223021582733,0.6078431372549019,0.5555555555555556,0.425,0.6363636363636364,0.5,1.0,0.5,0.5,0.6666666666666666,0.5875,0.5208333333333334,0.6333333333333333,0.4854368932038835,0.5,0.5,0.46153846153846156,0.4594594594594595,0.75,0.4857142857142857,0.5,0.5164835164835165,0.5741935483870968,0.5416666666666666,0.6666666666666666,0.5,0.0,0.5789473684210527,0.6666666666666666,0.5652173913043478,0.48936170212765956,0.5833333333333334,0.5294117647058824,0.43103448275862066,0.4166666666666667,0.4745762711864407,0.5,1.0,0.5217391304347826,0.5,0.5,0.5,0.5333333333333333,0.42857142857142855,0.6290322580645161,0.5,0.6153846153846154,0.4266666666666667,0.4444444444444444,0.5,0.5714285714285714,0.6190476190476191,0.5,0.8,0.6,0.2777777777777778,0.4824561403508772,1.0,0.3333333333333333,0.5,0.5,0.43333333333333335,0.8064516129032258,0.5,0.6585365853658537,0.4444444444444444,1.0,0.3333333333333333,0.4166666666666667,0.625,0.5,0.5,0.5111111111111111,0.5,1.0,0.4,0.5354330708661418,0.5714285714285714,0.75,0.75,0.4716981132075472,0.5340909090909091,0.59375,0.5,0.5714285714285714,0.8,0.5,1.0,0.546448087431694,1.0,0.0,0.6666666666666666,0.5882352941176471,1.0,0.6,0.6363636363636364,0.5,0.6,0.5,0.5394736842105263,0.6578947368421053,0.5,0.5,0.5384615384615384,0.75,0.5,0.5833333333333334,0.4935064935064935,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.6,0.5714285714285714,0.4473684210526316,0.5,1.0,0.25,0.45454545454545453,0.5,1.0,0.5,0.3333333333333333,0.5238095238095238,1.0,0.7692307692307693,0.5714285714285714,0.5555555555555556
