Name,Games Played,Games Won,Win Ratio,Blue Top Plays,Red Top Plays,Top Plays,Blue Top Wins,Red Top Wins,Top Wins,Blue Jungle, Red Jungle, Jungle,Blue Jungle Wins, Red Jungle Wins, Jungle Wins,Blue Middle, Red Middle, Middle,Blue Middle Wins, Red Middle Wins, Middle Wins,Blue ADC, Red ADC, ADC,Blue ADC Wins, Red ADC Wins, ADC Wins,Blue Support, Red Support, Support,Blue Support Wins, Red Support Wins, Support Wins,
007x,6,0,0.0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0hq,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0
2020,25,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,25,1,1,2,0,0,0,0,0,0
3z,72,37,0.5138888888888888,39,33,72,24,13,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4LaN,40,18,0.45,0,0,0,0,0,0,24,16,40,11,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
957,30,17,0.5666666666666667,15,15,30,10,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD,135,54,0.4,66,69,135,28,26,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ,7,0,0.0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AJun,2,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN,134,98,0.7313432835820896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,65,134,50,48,98,0,0,0,0,0,0
Abaria,42,25,0.5952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,22,20,42,15,10,25,0,0,0,0,0,0,0,0,0,0,0,0
Abbedagge,19,5,0.2631578947368421,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Abou222,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absolut,26,14,0.5384615384615384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,26,9,5,14,0,0,0,0,0,0
Acce,66,38,0.5757575757575758,38,28,66,23,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace,11,8,0.7272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,6,5,11,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Acerola,3,1,0.3333333333333333,0,0,0,0,0,0,2,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achie,43,16,0.37209302325581395,4,2,6,1,0,1,7,8,15,4,4,8,11,11,22,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0
Achu,3,1,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,1,0,0,0,0,0,0
Achuu,41,20,0.4878048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,41,8,12,20,0,0,0,0,0,0
Achuu Cop,14,10,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,5,5,10,0,0,0,0,0,0
Acorn,15,7,0.4666666666666667,9,6,15,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaniel,28,9,0.32142857142857145,0,0,0,0,0,0,12,16,28,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian,189,116,0.6137566137566137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,88,189,64,52,116
Adryh,66,24,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,36,66,8,16,24,0,0,0,0,0,0
Afrox,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiming,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Air,11,1,0.09090909090909091,3,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0
Airwaks,71,23,0.323943661971831,0,0,0,0,0,0,32,39,71,11,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akaadian,74,29,0.3918918918918919,0,0,0,0,0,0,37,37,74,18,11,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akari,4,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Akasi,10,2,0.2,6,4,10,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akira,2,0,0.0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akunma,49,26,0.5306122448979592,26,23,49,14,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aladoric,4,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,2,0,0,0,0,0,0
Albis,208,146,0.7019230769230769,0,0,0,0,0,0,5,6,11,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,105,92,197,75,63,138
Alex,39,22,0.5641025641025641,0,0,0,0,0,0,21,18,39,14,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Ich,9,3,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
AlexIch,21,5,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,11,10,21,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0
Allorim,1,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alocs,15,4,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,15,0,4,4
Alphari,101,52,0.5148514851485149,54,47,101,32,20,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altec,163,84,0.5153374233128835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,77,161,43,41,84,1,1,2,0,0,0
Aluka,8,4,0.5,6,2,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amades,7,2,0.2857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,2,0,2,0,0,0,0,0,0
Amazing,146,71,0.4863013698630137,0,0,0,0,0,0,70,76,146,37,34,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AmazingJ,11,6,0.5454545454545454,5,6,11,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amazingx,19,10,0.5263157894736842,0,0,0,0,0,0,9,10,19,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ambition,268,165,0.6156716417910447,0,0,0,0,0,0,138,130,268,92,73,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ami,9,0,0.0,0,0,0,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An,73,47,0.6438356164383562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,31,73,28,19,47,0,0,0,0,0,0
AnDa,4,2,0.5,0,0,0,0,0,0,1,3,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnOnPsyCkO,3,2,0.6666666666666666,0,0,0,0,0,0,2,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelas,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
Antariys,25,8,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,25,4,4,8
AoD,11,2,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,0,2,2
Aoi Haru,2,0,0.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aoshi,27,8,0.2962962962962963,16,11,27,5,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aotaka,8,2,0.25,5,3,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apex,146,69,0.4726027397260274,0,0,0,0,0,0,0,0,0,0,0,0,73,73,146,39,30,69,0,0,0,0,0,0,0,0,0,0,0,0
Aphromoo,11,7,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,11,3,4,7
Apollo,219,93,0.4246575342465753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,112,219,55,38,93,0,0,0,0,0,0
Apple,27,8,0.2962962962962963,13,14,27,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
