teamTag,Games Played,Games Won,Win Ratio,Games Played Blue,Games Won Blue,Win Ratio Blue,Games Played Red,Games Won Red,Win Ratio Red
100,4,3,0.75,3,3,1.0,1,0,0.0,
17A,8,3,0.375,3,1,0.3333333333333333,5,2,0.4,
7h,67,32,0.47761194029850745,34,18,0.5294117647058824,33,14,0.42424242424242425,
A,30,11,0.36666666666666664,16,5,0.3125,14,6,0.42857142857142855,
AE,67,22,0.3283582089552239,33,12,0.36363636363636365,34,10,0.29411764705882354,
AF,8,5,0.625,4,3,0.75,4,2,0.5,
AFR,5,1,0.2,2,1,0.5,3,0,0.0,
AFs,203,103,0.5073891625615764,103,61,0.5922330097087378,100,42,0.42,
AHQ,59,28,0.4745762711864407,30,16,0.5333333333333333,29,12,0.41379310344827586,
ALL,6,3,0.5,3,3,1.0,3,0,0.0,
ANC,45,18,0.4,24,11,0.4583333333333333,21,7,0.3333333333333333,
ANX,29,20,0.6896551724137931,16,12,0.75,13,8,0.6153846153846154,
APX,50,23,0.46,26,13,0.5,24,10,0.4166666666666667,
AS,22,7,0.3181818181818182,10,4,0.4,12,3,0.25,
ASC,6,0,0.0,4,0,0.0,2,0,0.0,
AUR,124,69,0.5564516129032258,62,38,0.6129032258064516,62,31,0.5,
AV,107,52,0.48598130841121495,53,27,0.5094339622641509,54,25,0.46296296296296297,
B2K,22,6,0.2727272727272727,10,3,0.3,12,3,0.25,
BC,21,3,0.14285714285714285,7,1,0.14285714285714285,14,2,0.14285714285714285,
BE,21,1,0.047619047619047616,10,1,0.1,11,0,0.0,
BGG,15,5,0.3333333333333333,6,1,0.16666666666666666,9,4,0.4444444444444444,
BJK,92,50,0.5434782608695652,47,28,0.5957446808510638,45,22,0.4888888888888889,
BKT,4,0,0.0,2,0,0.0,2,0,0.0,
BMR,3,0,0.0,2,0,0.0,1,0,0.0,
BPI,12,3,0.25,6,1,0.16666666666666666,6,2,0.3333333333333333,
C9,274,158,0.5766423357664233,138,80,0.5797101449275363,136,78,0.5735294117647058,
C9C,3,3,1.0,1,1,1.0,2,2,1.0,
CA,12,9,0.75,5,4,0.8,7,5,0.7142857142857143,
CF,1,0,0.0,1,0,0.0,0,0,0.5,
CG,5,1,0.2,2,1,0.5,3,0,0.0,
CGE,29,1,0.034482758620689655,16,1,0.0625,13,0,0.0,
CHF,118,81,0.6864406779661016,60,42,0.7,58,39,0.6724137931034483,
CJ,43,18,0.4186046511627907,22,13,0.5909090909090909,21,5,0.23809523809523808,
CJE,137,61,0.44525547445255476,71,36,0.5070422535211268,66,25,0.3787878787878788,
CLB,1,0,0.0,1,0,0.0,0,0,0.5,
CLG,269,149,0.5539033457249071,140,83,0.5928571428571429,129,66,0.5116279069767442,
CLK,67,17,0.2537313432835821,33,9,0.2727272727272727,34,8,0.23529411764705882,
CNB,62,25,0.4032258064516129,28,10,0.35714285714285715,34,15,0.4411764705882353,
COL,5,2,0.4,3,1,0.3333333333333333,2,1,0.5,
COW,4,1,0.25,2,1,0.5,2,0,0.0,
CREW,11,2,0.18181818181818182,6,2,0.3333333333333333,5,0,0.0,
CRJ,19,6,0.3157894736842105,9,3,0.3333333333333333,10,3,0.3,
CRW,104,54,0.5192307692307693,55,35,0.6363636363636364,49,19,0.3877551020408163,
CST,32,13,0.40625,15,7,0.4666666666666667,17,6,0.35294117647058826,
CW,39,15,0.38461538461538464,20,10,0.5,19,5,0.2631578947368421,
CWA,3,0,0.0,0,0,0.5,3,0,0.0,
Crew,2,0,0.0,1,0,0.0,1,0,0.0,
D9,52,27,0.5192307692307693,24,13,0.5416666666666666,28,14,0.5,
DD,4,2,0.5,2,1,0.5,2,1,0.5,
DF,14,1,0.07142857142857142,7,0,0.0,7,1,0.14285714285714285,
DFM,76,61,0.8026315789473685,37,31,0.8378378378378378,39,30,0.7692307692307693,
DH,2,1,0.5,2,1,0.5,0,0,0.5,
DIG,160,69,0.43125,82,37,0.45121951219512196,78,32,0.41025641025641024,
DLY,1,0,0.0,1,0,0.0,0,0,0.5,
DP,153,78,0.5098039215686274,71,41,0.5774647887323944,82,37,0.45121951219512196,
DW,108,67,0.6203703703703703,55,35,0.6363636363636364,53,32,0.6037735849056604,
DoR,10,0,0.0,6,0,0.0,4,0,0.0,
EDG,48,24,0.5,21,14,0.6666666666666666,27,10,0.37037037037037035,
EEW,52,17,0.3269230769230769,27,10,0.37037037037037035,25,7,0.28,
EG,2,2,1.0,1,1,1.0,1,1,1.0,
EL,50,20,0.4,26,11,0.4230769230769231,24,9,0.375,
EMF,17,3,0.17647058823529413,7,2,0.2857142857142857,10,1,0.1,
EMP,34,13,0.38235294117647056,19,9,0.47368421052631576,15,4,0.26666666666666666,
ESC,63,28,0.4444444444444444,32,16,0.5,31,12,0.3870967741935484,
EUN,16,5,0.3125,6,2,0.3333333333333333,10,3,0.3,
EVR,3,0,0.0,1,0,0.0,2,0,0.0,
F5,12,6,0.5,6,3,0.5,6,3,0.5,
